sync_event_id,ts_zed,ts_left,ts_right,sys_diff_zed_left(s),sys_diff_zed_right(s),sys_diff_left_right(s),sys_diff_max(s)
1761712843472659816,2514.976025,2514.933756,2514.911946,0.042269,0.06408,0.02181,0.06408
1761712843539305944,2515.042754,2514.997722,2515.039729,0.045032,0.003025,-0.042007,0.045032
1761712843606182794,2515.10938,2515.061717,2515.103928,0.047664,0.005452,-0.042212,0.047664
1761712843672853782,2515.175987,2515.125704,2515.16791,0.050284,0.008077,-0.042206,0.050284
1761712843735456199,2515.24271,2515.189956,2515.231693,0.052754,0.011017,-0.041737,0.052754
1761712843808765320,2515.309371,2515.249946,2515.291746,0.059426,0.017626,-0.0418,0.059426
1761712843876970066,2515.375978,2515.313918,2515.355712,0.06206,0.020266,-0.041794,0.06206
1761712843939793543,2515.442713,2515.377712,2515.420262,0.065,0.022451,-0.04255,0.065
1761712844006335684,2515.509335,2515.505655,2515.484054,0.00368,0.025281,0.021601,0.025281
1761712844072929336,2515.576092,2515.569844,2515.547695,0.006248,0.028397,0.022149,0.028397
1761712844139717458,2515.642705,2515.629845,2515.607648,0.012859,0.035057,0.022198,0.035057
1761712844206458291,2515.709324,2515.693631,2515.671857,0.015693,0.037467,0.021775,0.037467
1761712844273134267,2515.776083,2515.757852,2515.73587,0.018231,0.040213,0.021982,0.040213
1761712844339797798,2515.842696,2515.821835,2515.79984,0.020861,0.042857,0.021996,0.042857
1761712844406317890,2515.909296,2515.885824,2515.863825,0.023472,0.045472,0.022,0.045472
1761712844473440658,2515.976063,2515.949943,2515.927815,0.026121,0.048248,0.022127,0.048248
1761712844539462734,2516.042662,2516.009796,2515.987829,0.032866,0.054833,0.021966,0.054833
1761712844605704078,2516.109272,2516.073589,2516.051604,0.035684,0.057669,0.021985,0.057669
1761712844672742121,2516.176027,2516.137579,2516.115586,0.038449,0.060441,0.021993,0.060441
1761712844736587864,2516.242632,2516.201819,2516.179799,0.040813,0.062832,0.022019,0.062832
1761712844805970378,2516.309228,2516.265583,2516.243793,0.043645,0.065435,0.021791,0.065435
1761712844873084443,2516.375975,2516.325552,2516.367586,0.050423,0.008389,-0.042034,0.050423
1761712844942671379,2516.442614,2516.3898,2516.431563,0.052813,0.011051,-0.041762,0.052813
1761712845009715216,2516.509337,2516.453747,2516.495559,0.05559,0.013777,-0.041813,0.05559
1761712845073334103,2516.575958,2516.517761,2516.55956,0.058197,0.016398,-0.041799,0.058197
1761712845139377005,2516.642581,2516.581741,2516.623542,0.06084,0.01904,-0.041801,0.06084
1761712845205997338,2516.709302,2516.645713,2516.683605,0.063589,0.025697,-0.037892,0.063589
1761712845272879877,2516.775932,2516.769718,2516.747728,0.006214,0.028204,0.021989,0.028204
1761712845341870279,2516.842556,2516.833695,2516.811716,0.008861,0.03084,0.02198,0.03084
1761712845408540238,2516.909279,2516.897495,2516.875529,0.011784,0.03375,0.021966,0.03375
1761712845474704500,2516.975891,2516.961485,2516.939483,0.014406,0.036408,0.022003,0.036408
1761712845543101600,2517.042519,2517.021498,2516.99969,0.021021,0.042829,0.021809,0.042829
1761712845609058177,2517.109261,2517.086258,2517.063484,0.023004,0.045777,0.022773,0.045777
1761712845669731196,2517.176076,2517.149501,2517.127474,0.026575,0.048602,0.022026,0.048602
1761712845740736320,2517.242616,2517.21349,2517.191475,0.029126,0.051141,0.022015,0.051141
1761712845809388076,2517.309237,2517.277476,2517.255874,0.031761,0.053364,0.021603,0.053364
1761712845876930756,2517.375848,2517.341465,2517.319462,0.034383,0.056386,0.022003,0.056386
1761712845941242164,2517.442592,2517.401458,2517.379446,0.041133,0.063145,0.022012,0.063145
1761712846007079653,2517.509195,2517.465416,2517.443444,0.043779,0.06575,0.021971,0.06575
1761712846072107319,2517.575817,2517.529399,2517.571422,0.046418,0.004395,-0.042023,0.046418
1761712846139023803,2517.642798,2517.5934,2517.635409,0.049398,0.007389,-0.042009,0.049398
1761712846205194206,2517.709389,2517.657398,2517.6994,0.051991,0.00999,-0.042001,0.051991
1761712846271451093,2517.775989,2517.721396,2517.759382,0.054593,0.016607,-0.037986,0.054593
1761712846337923537,2517.84255,2517.781559,2517.82363,0.060991,0.01892,-0.04207,0.060991
1761712846404949480,2517.909163,2517.845363,2517.887575,0.0638,0.021588,-0.042212,0.0638
1761712846471578320,2517.975947,2517.909347,2517.95155,0.0666,0.024397,-0.042203,0.0666
1761712846538322570,2518.042512,2518.037561,2518.015597,0.00495,0.026914,0.021964,0.026914
1761712846605816966,2518.109346,2518.097341,2518.075547,0.012005,0.033799,0.021794,0.033799
1761712846672336412,2518.176081,2518.161332,2518.139379,0.014748,0.036701,0.021953,0.036701
1761712846737471168,2518.242497,2518.225314,2518.203334,0.017182,0.039162,0.02198,0.039162
1761712846804811056,2518.309114,2518.289306,2518.267334,0.019808,0.04178,0.021971,0.04178
1761712846871401725,2518.376075,2518.353304,2518.331319,0.022771,0.044756,0.021986,0.044756
1761712846939143546,2518.442481,2518.417293,2518.39531,0.025188,0.047171,0.021983,0.047171
1761712847004599510,2518.509096,2518.47728,2518.45537,0.031815,0.053726,0.021911,0.053726
1761712847072691812,2518.575836,2518.541502,2518.519495,0.034335,0.056341,0.022006,0.056341
1761712847138614913,2518.64246,2518.605467,2518.583276,0.036993,0.059184,0.022191,0.059184
1761712847205065853,2518.709072,2518.669473,2518.647261,0.0396,0.061811,0.022211,0.061811
1761712847273027739,2518.775796,2518.733252,2518.711254,0.042543,0.064542,0.021998,0.064542
1761712847339211704,2518.842425,2518.793454,2518.835259,0.048971,0.007166,-0.041805,0.048971
1761712847404751174,2518.909361,2518.857315,2518.899244,0.052046,0.010117,-0.041929,0.052046
1761712847471377324,2518.975998,2518.921258,2518.963229,0.054739,0.012769,-0.04197,0.054739
1761712847538125282,2519.042403,2518.985217,2519.027228,0.057186,0.015175,-0.042011,0.057186
1761712847604779300,2519.109357,2519.049227,2519.091211,0.06013,0.018146,-0.041984,0.06013
1761712847671452548,2519.175754,2519.113204,2519.151218,0.06255,0.024536,-0.038014,0.06255
1761712847737742323,2519.242372,2519.237197,2519.215474,0.005175,0.026897,0.021722,0.026897
